Plaintext,Ciphertext,Predicted Plaintext
aaaaaaaa,622544d149b2aa96,aaaaaaaa
bbbbbbbb,b9338a531e69a071,bbbbbbbb
cccccccc,d33978a77a23febd,cccccccc
dddddddd,e9fdbced3ca36987,dddddddd
eeeeeeee,b6bfa8aa5b135cee,eeeeeeee
ffffffff,7e691e6bab2f35b2,ffffffff
gggggggg,2597944270838485,gggggggg
hhhhhhhh,84ad9facfe51bdb4,hhhhhhhh
iiiiiiii,872b4d5268b5a459,n opo  c
jjjjjjjj,b2c77afd4634a961,jjjjjjjj
kkkkkkkk,0d14d2fa2d21e7ee,kkkkkkkk
llllllll,ef0174ed7d3f6660,llllllll
mmmmmmmm,8948837ce1f25e99,mmmmmmmm
nnnnnnnn,e3be466d562042af,nnnnnnnn
oooooooo,c3d447fbfb8e9935,oooooooo
pppppppp,bc3a7f1e19da5f7e,pppppppp
qqqqqqqq,36b5a84b6f2a6369,or qqqqq
rrrrrrrr,f5d633dc06b102c9,rrrrrrrr
ssssssss,13f21ec8a77246e1,ssssssss
tttttttt,b679a30e2ad40312,tttttttt
uuuuuuuu,fea9445931ace909,uuuuuuuu
vvvvvvvv,6738c7f10dd56d09,vvvvvvvv
wwwwwwww,40177bfbbf160737,wwwwwwww
xxxxxxxx,8451d6f7a6c94005, hhseais
yyyyyyyy,111fb29672ba8f74,yyyyyyyy
zzzzzzzz,f56b55d4250b9092,zzzzzzzz
00000000,196d431c5160efe8,00000000
11111111,f2200c80eb8bf7cf,11111111
22222222,af27fc006f54cd37,22222222
33333333,218a2af12ae5ab33,33333333
44444444,75b1a0065b407c2c,44444444
55555555,5f17cfa9a50775a9,55555555
66666666,153493ff7ba8c755,66666666
77777777,24ebcde5e5491bb4,77777777
88888888,7d5c31d663d62e0a,88888888
99999999,371514b285fb2c09,99999999
A Compre,cfbe07201497c172,  e  3 T
hensive ,4fef1c999e4f4a51,iinnn ap
Overview,e3628525ab22f126,i eamToo
 of Larg,b98b3aeddd54445b, oottte 
e Langua,38f63b1ed21367d0, paet so
ge Model,9cdb5da22090a735,bzi  e0 
s Humza ,e6a3bbe6756939cb,f  sesns
Naveeda ,f599efe5149f5901,   edoi 
Asad Ull,9070e6b0b6886fdc, eto auu
ah Khana,b91796e048e6ed5f,nu00or9 
 Shi Qiu,4621243a3217a456,peee ee 
b Muhamm,818c915f5299e562,ionn  a 
ad Saqib,b32c51aa7ba90440,chen ao 
cd Saeed,807d8283e901bbb0,sdaeppsZ
 Anwaref,78f93809107fcd8b,oe tii r
 Muhamma,16bbc2727d9bdd6a,o neette
d Usmane,1a4ec4669f01bb41, f reiep
f Naveed,6c0b0c5f7923808c, io  g  
 Akhtarg,d7a6bb80d95fcab2,sanss ue
i Nick B,a116ab3bb4e730f5,e utWii 
arnesh A,f3e547d3fd756cb0, 2o ee l
jmal Mia,5e30091527ad2f65,ruie  o0
ni aUniv,e7676a1455006c2d,r  aa n3
ersity o,84cdc1db2378b5e9,  2liig 
f Engine,fb992ec43e96067e,tes  eer
ering an,e2161a3e85d94476,  2oosse
d Techno,8696d80673e6a5f6,t dee  o
logy UET,9e4d68a26f457a1e,cno  ioh
 Lahore ,4cd818a8ee38f817, Lr s  a
Pakistan,404bf37257f5a833, oto per
 bThe Ch,9aa94601bd0c46f6,Aoeth na
inese Un,93d3c0b0f13ae793,llgiebt 
iversity,8fab486906a27203,05ele a 
 of Hong,d960525c657183a7,ne  aaie
 Kong CU,366d1d4839d68844,ot 3osde
HK HKSAR,ac335f49ba7a9083,dd nhi n
 China c,38cb6cdb0d42a221,fd uenst
Universi,15ae0c4354695495,ety ntt 
ty of Te,58be6bdd752f0168,r  aoe a
chnology,46cd3b2d63bac96e,nn  u ie
 Sydney ,77282b4d75ecb121,rr ivv t
UTS Sydn,7a75692822440951,oiiae to
ey Austr,c643934d33435111,e  tTTen
alia dCo,159884c615f53773,il r55oo
mmonweal,974fd188557424cd,rr   h1 
th Scien,99e982ce7d17cc10,oui Auut
tific an,53c3a6f55c5b8a4d, i  Cas 
d Indust,514ca68b2ffeb58f, nemttte
rial Res,bca99087485db8a8, rucrnti
earch Or,9ee9dc53b1d3c1c1,  rsatte
ganisati,e7efcadabe7bc7bc, mroo  n
on CSIRO,e9a4786c03201456,nn  pr  
 Sydney ,77282b4d75ecb121,rr ivv t
Australi,4f879a7f2301750f, oalo8r2
a eKing ,84d36a1acbef9d14,e o sty 
Fahd Uni,4730ba1bc317ffba,ii rpe  
versity ,7aebb44222f03fdd,otpl ann
of Petro,beb74e308f2d223a,f  rt 9e
leum and,f03c808bb6235216,  r  a  
 Mineral,305faf8c5df0e508, ouneiee
s KFUPM ,7ecb595605c7dd59,  Lmir0c
Dhahran ,d5d47a413c1437eb,ectew wk
Saudi Ar,63d0ede6a57c7b5f,h  rnust
abia fSD,379de0d8bc2fbf7d,er  s ee
AIAKFUPM,af8a161dd9f3f4e7,ai e i d
 Joint R,9e6a9288d0c01511,siurenit
