Plaintext,Ciphertext
aaaaaaaa,0c7e1d9be3914b36
bbbbbbbb,05d394e701779e47
cccccccc,acbc1f4096e2cef0
dddddddd,bf0d4258d3bd21fe
eeeeeeee,08284d6bb860c046
ffffffff,86b752a44821b66c
gggggggg,1e22eb6acb437d15
hhhhhhhh,f02fe5c70a3a31ad
iiiiiiii,e649f694d9f4f9fe
jjjjjjjj,390a860afd2687b0
kkkkkkkk,1226d8d9e2b102c9
llllllll,e95ee8b1886ecd16
mmmmmmmm,f3b14803643670fa
nnnnnnnn,1b7b6420ccce6ca3
oooooooo,5ad86c9917f57698
pppppppp,86b7ae39ca4c63dd
qqqqqqqq,dc74200bade12fd1
rrrrrrrr,9e6a41d83c0fb51f
ssssssss,1d4179cb9cb823a8
tttttttt,5e98cb5bdeeb9445
uuuuuuuu,d38a8e9020f72ae6
vvvvvvvv,fb94cf9a0620006c
wwwwwwww,363708909a8cc590
xxxxxxxx,5f1259d9d07810e4
yyyyyyyy,e6beb6894dab4e8f
zzzzzzzz,2ea0231d45ea1818
00000000,a724b9e7f29b5eaf
11111111,444a101efd267eb8
22222222,a7dc78ea9b8de80c
33333333,3dd7504a0bbb6f2c
44444444,9b4b3a77c8d45696
55555555,017c3dfc69602ffd
66666666,fb0fbb06b2e813d0
77777777,24ebd6647bbcaea9
88888888,e379cdc573b49e07
99999999,7fb21468249242c0
Provided,ce50edc20ee81e08
 proper ,b86fc6ce2e3322e8
attribut,4850d473f59df73f
ion is p,7de41e2e04796144
rovided ,7ebcc11273a40bb2
Google h,51e95ae6b0014e7c
ereby gr,b41b00c2eabfa1a4
ants per,fba3a5c690c75047
mission ,3a3474d3de5b8b26
to repro,4fcab02859eee1d2
duce the,2174ec75d089502a
 tables ,241cc9ac08d849ed
and figu,93c3a934090419ec
res in t,b75edda92873f322
his pape,60262093ab3aa314
r solely,cb64af8acbb14aca
 for use,a0dae0420696b785
 in jour,6029b0d5bbba42a1
nalistic,ba55aa23e0d9506a
 or scho,93a06306f9179123
larly wo,87d52a61dabcc320
rks Atte,05026fe580d787aa
ntion Is,bf5ede17a03d5306
 All You,3ffad4491453fcab
 Need As,cc8f4df325b2dba6
hish Vas,d449a31bdb354a65
wani Goo,8f6308d4c12011ff
gle Brai,07ea643bb43484ad
n avaswa,7f9678ed7dbb9362
nigoogle,7f6a24acdb545a1b
comNoam ,d5c2ac6c4cbb500f
Shazeer ,7c4daa4efae83730
Google B,de2425e26a4c62f6
rain noa,ad503cdeae8b478b
mgooglec,bfe9d7d1999e6b0e
omNiki P,749dd5b966e56570
armar Go,197ad7002721afa1
ogle Res,8c4762ba0a856649
earch ni,6b9a0a2bfe59ac70
kipgoogl,4e7819fb601ebf91
ecomJako,96fbf577e2d8fe93
b Uszkor,2569362f781010a7
eit Goog,d651e68810431783
le Resea,f91c6146a74fc0c8
rch uszg,3a59cb1bbcec05d0
ooglecom,6201c42fae44e1b5
 Llion J,0c69cc3ac9559087
ones Goo,fd9bb4a3df02113c
gle Rese,ad9ab9cbed8a9f48
arch lli,246772e5dd271d81
ongoogle,eb8815552f163c07
comAidan,1682a00ed72ba0c9
 N Gomez,ed7b5f9fa49f4ddc
  Univer,6341fd399b6f30e0
sity of ,ccbfa023791e8680
Toronto ,b689d4522a1be6fb
aidancst,2099ac61006420ec
orontoed,a9e7be4a8efbec1e
uukasz K,c46db11b42b99fe9
aiser Go,384055ace6bdfd35
ogle Bra,9ea30cd8c6ba740d
in lukas,5fa29519ec14bb9c
zkaiserg,5893704e3e345b60
ooglecom,6201c42fae44e1b5
 Illia P,9cad39843d83ea23
olosukhi,99acf72388075a3b
n  illia,96d3f7ed921b746b
polosukh,a08319dbaca5d44c
ingmailc,17c10202b0f930f2
om Abstr,9b6291f72274f3e1
act The ,b39664faadea80bc
dominant,52e60b5ea7bcc762
 sequenc,a95b63d282ddbb7f
e transd,f1bdbc1124d34f21
uction m,ccc4e57b34203b16
